key,publicationReady,abridged,headNote,endNote,textType,senderPlace,senderPlaceID,senderDate,senderDateFrom,senderDateTo,senderDateEarliest,senderDateLatest,senderDateEvidence,addressee,addresseeID,addresseeOrg,addresseePlace,addresseePlaceID,seeAlso,exclude,note
97a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1407,,
97b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1408,,
97c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1409,,
98,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/223,,
98a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1410,,
99,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/224,,
100,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/225,,
101,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/247,,
102,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/248,,
102a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/124,,
103,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/249,,
104,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/250,,
105,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/251,,
106,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/252,,
107,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/253,,
107a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1412,,
108,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/254,,
109,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/255,,
110,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/256,,
111,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/257,,
111a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1036,,
112,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/140,,
113,true,false,true,,,,,1948-01-25,,,1948-01-29,1948-01-31,,C. S. Lewis,https://viaf.org/viaf/22144877/,,,,https://www.tolkienguide.com/guide/letters/265,,In the dateline dated 1948-01-25. According to the postscript posting it “delayed nearly a week”.
114,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/266,,
115,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/267,,
116,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/268,,
117,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/269,,
118,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/270,,
119,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/271,,
120,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/272,,
121,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/273,,
122,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/136,,
122a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1162,,
123,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/275,,
124,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/276,,
125,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/277,,
126,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/293,,
127,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/294,,
128,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/295,,
128a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1415,,
129,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/296,,
130,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/297,,
130a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1416,,
131,true,,true,true,CopyByThird,,,,,,1951-10,1951-12-31,,Milton Waldman,https://viaf.org/viaf/43865621/,,,,https://www.tolkienguide.com/guide/letters/152,,
132,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/314,,
132a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1417,,
133,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/315,,
134,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/350,,
134a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1418,,
135,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/351,,
135a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1419,,
135b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1420,,
135c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1421,,
135d,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1422,,
136,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/352,,
137,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/353,,
137a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1423,,
137b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1424,,
137c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1425,,
137d,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1426,,
137e,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1427,,
138,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/354,,
139,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/355,,
140,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/356,,
140a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1428,,
140b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1429,,
140c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1430,,
141,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/369,,
